anno,parte,formato,nome_file,data_aggiornamento
2024,1,PDF,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 1,13/02/2026
2024,2,PDF,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 2,13/02/2026
2024,3,PDF,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 3,13/02/2026
2024,4,PDF,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 4,13/02/2026
2024,5,PDF,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 5,13/02/2026
2024,6,PDF,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 6,13/02/2026
2024,7,PDF,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 7,13/02/2026
2024,1,CSV,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 1,13/02/2026
2024,2,CSV,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 2,13/02/2026
2024,3,CSV,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 3,13/02/2026
2024,4,CSV,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 4,13/02/2026
2024,5,CSV,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 5,13/02/2026
2024,6,CSV,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 6,13/02/2026
2024,7,CSV,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 7,13/02/2026
2023,1,PDF,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 1 - agg. 16.09.2024,16/09/2024
2023,2,PDF,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 2 - agg. 16.09.2024,16/09/2024
2023,3,PDF,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 3 - agg. 16.09.2024,16/09/2024
2023,4,PDF,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 4 - agg. 16.09.2024,16/09/2024
2023,5,PDF,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 5 - agg. 16.09.2024,16/09/2024
2023,6,PDF,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 6 - agg. 16.09.2024,16/09/2024
2023,1,CSV,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 1 - agg. 16.09.2024,16/09/2024
2023,2,CSV,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 2 - agg. 16.09.2024,16/09/2024
2023,3,CSV,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 3 - agg. 16.09.2024,16/09/2024
2023,4,CSV,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 4 - agg. 16.09.2024,16/09/2024
2023,5,CSV,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 5 - agg. 16.09.2024,16/09/2024
2023,6,CSV,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 6 - agg. 16.09.2024,16/09/2024
2022,1,PDF,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 1 - agg. 04.10.2024,04/10/2024
2022,2,PDF,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 2 - agg. 04.10.2024,04/10/2024
2022,3,PDF,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 3 - agg. 04.10.2024,04/10/2024
2022,4,PDF,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 4 - agg. 04.10.2024,04/10/2024
2022,5,PDF,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 5 - agg. 04.10.2024,04/10/2024
2022,6,PDF,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 6 - agg. 04.10.2024,04/10/2024
2022,1,CSV,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 1 - agg. 04.10.2024,04/10/2024
2022,2,CSV,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 2 - agg. 04.10.2024,04/10/2024
2022,3,CSV,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 3 - agg. 04.10.2024,04/10/2024
2022,4,CSV,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 4 - agg. 04.10.2024,04/10/2024
2022,5,CSV,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 5 - agg. 04.10.2024,04/10/2024
2022,6,CSV,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 6 - agg. 04.10.2024,04/10/2024
2021,1,PDF,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P01,18/11/2022
2021,2,PDF,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P02,18/11/2022
2021,3,PDF,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P03,18/11/2022
2021,4,PDF,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P04,18/11/2022
2021,5,PDF,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P05,18/11/2022
2021,6,PDF,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P06,18/11/2022
2020,1,PDF,5X1000 - AF 2020 - Elenco ammessi al contributo -1- agg.10.11.2021,10/11/2021
2020,2,PDF,5X1000 - AF 2020 - Elenco ammessi al contributo -2- agg.10.11.2021,10/11/2021
2020,3,PDF,5X1000 - AF 2020 - Elenco ammessi al contributo -3- agg.10.11.2021,10/11/2021
2020,4,PDF,5X1000 - AF 2020 - Elenco ammessi al contributo -4- agg.10.11.2021,10/11/2021
2020,5,PDF,5X1000 - AF 2020 - Elenco ammessi al contributo -5- agg.10.11.2021,10/11/2021
2019,1,PDF,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 1 - agg. 20.03.2026,20/03/2026
2019,2,PDF,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 2 - agg. 20.03.2026,20/03/2026
2019,3,PDF,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 3 - agg. 20.03.2026,20/03/2026
2019,4,PDF,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 4 - agg. 20.03.2026,20/03/2026
2019,5,PDF,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 5 - agg. 20.03.2026,20/03/2026
2019,1,CSV,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 1 - agg. 20.03.2026,20/03/2026
2019,2,CSV,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 2 - agg. 20.03.2026,20/03/2026
2019,3,CSV,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 3 - agg. 20.03.2026,20/03/2026
2019,4,CSV,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 4 - agg. 20.03.2026,20/03/2026
2019,5,CSV,5v1000 AF 2019 - Elenco destinatari ammessi al contributo - 5 - agg. 20.03.2026,20/03/2026
