anno,categoria,tipo_file,nome_file,data_aggiornamento
2024,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,ETS_ONLUS,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo – 1 - pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 1- pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo – 2 - pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 2- pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo – 3 - pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 3- pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo – 4 - pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 4- pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo – 5 - pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,ammessi,Elenco degli ammessi per importo - 5- pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,esclusi,Elenco degli esclusi per importo – pubblicato il 29 settembre 2025,
2024,ETS_ONLUS,esclusi,Elenco degli esclusi per importo - pubblicato il 29 settembre 2025,
2024,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Ricerca_scientifica,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Ricerca_scientifica,ammessi,Elenco degli ammessi per importo – pubblicato il 26 maggio 2025 - pdf,
2024,Ricerca_scientifica,esclusi,Elenco degli esclusi per importo – pubblicato il 26 maggio 2025 - pdf,
2024,Ricerca_scientifica,ammessi,Elenco degli ammessi per importo - – pubblicato il 26 maggio 2025 – csv,
2024,Ricerca_scientifica,esclusi,Elenco degli esclusi per importo - pubblicato il 26 maggio 2025 - csv,
2024,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Ricerca_sanitaria,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Ricerca_sanitaria,ammessi,Elenco degli ammessi per importo – pubblicato il 26 maggio 2025 - pdf,
2024,Ricerca_sanitaria,ammessi,Elenco degli ammessi per importo - pubblicato il 26 maggio 2025 – csv,
2024,Comuni,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Comuni,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Comuni,ammessi,Elenco degli ammessi per importo – pubblicato il 26 maggio 2025 - pdf,
2024,Comuni,ammessi,Elenco degli ammessi per importo - pubblicato il 26 maggio 2025 - csv,
2024,ASD,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,ASD,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,ASD,ammessi,Elenco degli ammessi per importo 1- aggiornato il 13 febbraio 2026 - pdf,
2024,ASD,ammessi,Elenco degli ammessi per importo 1 - aggiornato il 13 febbraio 2026 - csv,
2024,ASD,ammessi,Elenco degli ammessi per importo 2- aggiornato il 13 febbraio 2026 - pdf,
2024,ASD,ammessi,Elenco degli ammessi per importo 2 - aggiornato il 13 febbraio 2026 - csv,
2024,ASD,esclusi,Elenco degli esclusi per importo - aggiornato il 13 febbraio 2026 – pdf,
2024,ASD,esclusi,Elenco degli esclusi per importo - aggiornato il 13 febbraio 2026 - csv,
2024,Beni_culturali,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Beni_culturali,esclusi,Elenchi ammessi ed esclusi per categoria,
2024,Beni_culturali,ammessi,Elenco degli ammessi per importo – pubblicato il 26 maggio 2025 - pdf,
2024,Beni_culturali,ammessi,Elenco degli ammessi per importo - pubblicato il 26 maggio 2025 - csv,
2024,Beni_culturali,esclusi,Elenco degli esclusi per importo – pubblicato il 26 maggio 2025 – pdf,
2024,Beni_culturali,esclusi,Elenco degli esclusi per importo - pubblicato il 26 maggio 2025 - csv,
