anno,categoria,tipo_file,nome_file,data_aggiornamento
2024,ETS_ONLUS,ammessi,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 1,13/02/2026
2024,ETS_ONLUS,ammessi,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 2,13/02/2026
2024,ETS_ONLUS,ammessi,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 3,13/02/2026
2024,ETS_ONLUS,ammessi,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 4,13/02/2026
2024,ETS_ONLUS,ammessi,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 5,13/02/2026
2024,ETS_ONLUS,ammessi,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 6,13/02/2026
2024,ETS_ONLUS,ammessi,5x1000-AF2024 - Elenco destinatari ammessi al contributo - 7,13/02/2026
2023,ETS_ONLUS,ammessi,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 1 - agg. 16.09.2024,16/09/2024
2023,ETS_ONLUS,ammessi,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 2 - agg. 16.09.2024,16/09/2024
2023,ETS_ONLUS,ammessi,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 3 - agg. 16.09.2024,16/09/2024
2023,ETS_ONLUS,ammessi,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 4 - agg. 16.09.2024,16/09/2024
2023,ETS_ONLUS,ammessi,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 5 - agg. 16.09.2024,16/09/2024
2023,ETS_ONLUS,ammessi,5X1000-AF2023 - Elenco destinatari ammessi al contributo - 6 - agg. 16.09.2024,16/09/2024
2022,ETS_ONLUS,ammessi,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 1 - agg. 04.10.2024,04/10/2024
2022,ETS_ONLUS,ammessi,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 2 - agg. 04.10.2024,04/10/2024
2022,ETS_ONLUS,ammessi,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 3 - agg. 04.10.2024,04/10/2024
2022,ETS_ONLUS,ammessi,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 4 - agg. 04.10.2024,04/10/2024
2022,ETS_ONLUS,ammessi,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 5 - agg. 04.10.2024,04/10/2024
2022,ETS_ONLUS,ammessi,5X1000-AF2022 - Elenco destinatari ammessi al contributo - 6 - agg. 04.10.2024,04/10/2024
2021,ETS_ONLUS,ammessi,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P01,18/11/2022
2021,ETS_ONLUS,ammessi,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P02,18/11/2022
2021,ETS_ONLUS,ammessi,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P03,18/11/2022
2021,ETS_ONLUS,ammessi,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P04,18/11/2022
2021,ETS_ONLUS,ammessi,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P05,18/11/2022
2021,ETS_ONLUS,ammessi,5X1000 - AF 2021 - Elenchi destinatari ammessi al contributo aggiornati al 18 novembre 2022 - P06,18/11/2022
2020,ETS_ONLUS,ammessi,5X1000 - AF 2020 - Elenco ammessi al contributo -1- agg.10.11.2021,10/11/2021
2020,ETS_ONLUS,ammessi,5X1000 - AF 2020 - Elenco ammessi al contributo -2- agg.10.11.2021,10/11/2021
2020,ETS_ONLUS,ammessi,5X1000 - AF 2020 - Elenco ammessi al contributo -3- agg.10.11.2021,10/11/2021
2020,ETS_ONLUS,ammessi,5X1000 - AF 2020 - Elenco ammessi al contributo -4- agg.10.11.2021,10/11/2021
2020,ETS_ONLUS,ammessi,5X1000 - AF 2020 - Elenco ammessi al contributo -5- agg.10.11.2021,10/11/2021
2019,ETS_ONLUS,ammessi,5X1000 AF 2019 Volontariato AMMESSI - 1 - agg. 20.03.2026,20/03/2026
2019,ETS_ONLUS,ammessi,5X1000 AF 2019 Volontariato AMMESSI - 2 - agg. 20.03.2026,20/03/2026
2019,ETS_ONLUS,ammessi,5X1000 AF 2019 Volontariato AMMESSI - 3 - agg. 20.03.2026,20/03/2026
2019,ETS_ONLUS,ammessi,5X1000 AF 2019 Volontariato AMMESSI - 4 - agg. 20.03.2026,20/03/2026
2019,ETS_ONLUS,esclusi,5X1000 AF 2019 Volontariato ESCLUSI - agg. 20.03.2026,20/03/2026
2021,Ricerca_scientifica,ammessi,5XM-AF2021 - Ricerca scientifica - AMMESSI.pdf,09/06/2022
2020,Ricerca_scientifica,ammessi,5X1000-A.F.2020 - Ricerca Scientifica AMMESSI.pdf,08/06/2021
2020,Ricerca_scientifica,esclusi,5X1000-A.F.2020 - Ricerca Scientifica ESCLUSI.pdf,08/06/2021
2019,Ricerca_scientifica,ammessi,5X1000-A.F.2019-Ricerca Scientifica AMMESSI.pdf,22/07/2020
2019,Ricerca_scientifica,esclusi,5X1000-A.F.2019-Ricerca Scientifica ESCLUSI.pdf,22/07/2020
2021,Ricerca_sanitaria,ammessi,5XM-AF2021-Ricerca sanitaria - AMMESSI.pdf,09/06/2022
2020,Ricerca_sanitaria,ammessi,5X1000-A.F.2020 - Ricerca Sanitaria AMMESSI.pdf,08/06/2021
2019,Ricerca_sanitaria,ammessi,Elenco degli ammessi per importo sanitaria,22/07/2020
2021,Comuni,ammessi,5XM-AF2021-Comuni.pdf,09/06/2022
2020,Comuni,ammessi,5X1000-A.F.2020 - Comuni.pdf,08/06/2021
2019,Comuni,ammessi,5X1000-A.F.2019-Comuni .pdf,22/07/2020
2021,ASD,ammessi,Elenco ammessi - aggiornato al 18 novembre 2022.pdf,02/12/2022
2021,ASD,esclusi,Elenco esclusi - aggiornato al 18 novembre 2022.pdf,02/12/2022
2020,ASD,ammessi,5X1000 - AF2020 - Ammessi - ASD - agg.10.11.2021.pdf,10/11/2021
2020,ASD,esclusi,5X1000 - AF2020 - Esclusi - ASD - agg.10.11.2021.pdf,10/11/2021
2019,ASD,ammessi,5X1000-A.F.2019-ASD - AMMESSI.pdf,22/07/2020
2019,ASD,esclusi,5X1000-A.F.2019-ASD - ESCLUSI.pdf,22/07/2020
2021,Beni_culturali,ammessi,5XM-AF2021-Beni culturali MIBAC - AMMESSI.pdf,09/06/2022
2021,Beni_culturali,esclusi,5XM-AF2021-Beni culturali MIBAC - ESCLUSI.pdf,09/06/2022
2020,Beni_culturali,ammessi,5X1000-A.F.2020 - Beni Culturali MIBAC - AMMESSI.pdf,08/06/2021
2020,Beni_culturali,esclusi,5X1000-A.F.2020 - Beni Culturali MIBAC - ESCLUSI.pdf,08/06/2021
2019,Beni_culturali,ammessi,5X1000-A.F.2019-Beni Culturali MIBAC - AMMESSI.pdf,22/07/2020
2019,Beni_culturali,esclusi,5X1000-A.F.2019-Beni Culturali MIBAC - ESCLUSI.pdf,22/07/2020
2021,Aree_protette,ammessi,5XM-AF2021-Aree protette - AMMESSI.pdf,09/06/2022
2020,Aree_protette,ammessi,5X1000-A.F.2020 - Aree Protette - AMMESSI.pdf,08/06/2021
